# Bannerlord Asset Reference Dump
# Generated: 2026-08-07 21:12:45 -04:00
# Source install: F:\SteamLibrary\steamapps\common\Mount & Blade II Bannerlord
# Game version: 1.4.7
# Generated by tools/build_asset_dump.ps1 - do not hand-edit, regenerate instead.
#
# Column layout matches the legacy bannerlord_assets_v1.3.15.txt exactly: existing bake scripts
# index it positionally (PhysicsShapes = 7, Meshes = 11).
#
# An empty Meshes column means the prefab has no visible geometry. Those are markers and logic
# nodes - spawn points, patrol points, animation points - and are intentionally included.
#
AssetName | Module | PrefabFile | RelativePath | InferredCategory | HasPhysics | HasCollisionShape | PhysicsShapes | PhysicsMaterials | Masses | BodyFlags | Meshes | Scripts | Tags | Flags | Mobility | OldPrefabName | ChildSectionCount | ChildTopNames
homestead_ambasador_hall | HomesteadsReloaded | homestead_ambasador_hall.xml | Prefabs\homestead_ambasador_hall.xml | misc | yes | yes | bo_empire_village_house_a,bo_flag_pole_big,bo_tavern_aserai_stove_a |  |  |  | empire_village_house_a,flag_pole_big,bd_cloth_hanging_rope,tavern_aserai_stove_a |  | spawnpoint_homestead_ambassador |  |  |  | 1 | homestead_prop,spawnpoint_homestead_ambassador
homestead_bridge_brigade | HomesteadsReloaded | homestead_bridge_brigade.xml | Prefabs\homestead_bridge_brigade.xml | misc | yes | yes | bo_emp_bridge_g,bo_castle_plank_wall_c,bo_khuzait_grandbazaar_stone_fence_b,bo_empire_grandbazaar_entry,bo_battania_grandbazaar_stone_fence_b |  |  |  | emp_bridge_g,khuzait_grandbazaar_stone_fence_b,empire_grandbazaar_entry,battania_grandbazaar_stone_fence_b |  | homestead_race_start,homestead_race_gate,gate_000,gate_001,gate_002,gate_003,gate_004,gate_005,gate_006,gate_007,gate_008,gate_009,+29 more |  |  |  | 1 | baked_prop_0,baked_prop_1,baked_prop_2,baked_prop_3,baked_prop_4,baked_prop_5,baked_prop_6,baked_prop_7,baked_prop_8,baked_prop_9,baked_prop_10,baked_prop_11,+295 more
homestead_butchers_tent | HomesteadsReloaded | homestead_butchers_tent.xml | Prefabs\homestead_butchers_tent.xml | misc | yes | yes | bo_tents_pict_c,bo_wooden_platform_plank_f_column,bo_bd_table_e,bo_bd_table_c,bo_torch_outdoors_a,bo_merchandise_hides_b,bo_merchandise_hides_a |  |  |  | tents_pict_c,merchandise_meat,kitchen_hook,wooden_platform_plank_f_column,bd_cloth_stick_10m,bd_table_e,arrow_new_icon,bd_table_c,torch_outdoors_a,merchandise_hides_b,merchandise_hides_a,mat_fur_a,+12 more | UsablePlace,AnimationPoint,AmbientSoundEmitter,LightCycle | spawnpoint_homestead_npc |  |  |  | 4 | merchandise_meat,kitchen_hook,wooden_platform_plank_f_column,bd_cloth_stick_10m,bd_table_e,sp_npc_villager_working_while_stand,bd_table_c,torch_outdoors_a_burning,merchandise_hides_b,merchandise_hides_a,_to_carry_merchandise_hides_b,mat_fur_a,+3 more
homestead_cage_wooden | HomesteadsReloaded | homestead_cage_wooden.xml | Prefabs\homestead_cage_wooden.xml | misc |  |  |  |  |  |  | hawk_cage_a,animation_stand_cage_blue | UsablePlace,AnimationPoint | spawnpoint_homestead_prisoner |  |  |  | 4 | cage
homestead_campfire | HomesteadsReloaded | homestead_campfire.xml | Prefabs\homestead_campfire.xml | lighting |  | yes | bo_torch_outdoors_a |  |  |  | torch_outdoors_a,arrow_new_icon | AmbientSoundEmitter | spawnpoint_homestead_npc |  |  |  | 1 | camp_torch,campfire_light,campfire_sound,sp_campfire_stand_a,sp_campfire_stand_b,sp_campfire_stand_c
homestead_cattle_pen | HomesteadsReloaded | homestead_cattle_pen.xml | Prefabs\homestead_cattle_pen.xml | misc | yes | yes | bo_barn_fence_d,bo_fence_empire_a,bo_fence_empire_b |  |  |  | barn_fence_d,fence_empire_a,arrow_new_icon,fence_empire_b,animation_stand_arrow_yellow | UsablePlace,AnimationPoint,AnimalSpawnSettings | npc_wait,npc_common,disable_at_night,spawnpoint_homestead_npc,sp_cow |  |  |  | 2 | fence_empire_a,sp_npc_examine_stall,fence_empire_b,sp_cow
homestead_chicken_coop | HomesteadsReloaded | homestead_chicken_coop.xml | Prefabs\homestead_chicken_coop.xml | animal |  | yes | bo_empire_house_shed_a |  |  |  | empire_house_shed_a,animation_stand_arrow_yellow | UsablePlace,AnimationPoint | sp_chicken,spawnpoint_homestead_npc,Pilot |  |  |  | 2 | sp_chicken_coop_a,sp_chicken_coop_b,sp_chicken_coop_c,sp_npc_worker
homestead_clan_banner_flag | HomesteadsReloaded | homestead_clan_banner_flag.xml | Prefabs\homestead_clan_banner_flag.xml | banner |  |  |  |  |  |  | generic_flag_pole_a,generic_flag_vertical_a |  | hsr_clan_banner_cloth |  |  |  | 2 | homestead_clan_banner_flag_pole
homestead_clan_banner_flagpole | HomesteadsReloaded | homestead_clan_banner_flagpole.xml | Prefabs\homestead_clan_banner_flagpole.xml | banner |  |  |  |  |  |  | flag_pole_big,generic_flag_horizontal_a |  | hsr_clan_banner_cloth |  |  |  | 1 | homestead_clan_banner_flagpole_cloth
homestead_clan_banner_shield | HomesteadsReloaded | homestead_clan_banner_shield.xml | Prefabs\homestead_clan_banner_shield.xml | banner |  |  |  |  |  |  | sturgia_shield_a |  | hsr_clan_banner_cloth |  |  |  | 1 | homestead_clan_banner_shield_mesh
